filename,label,cheat_type,notes
"fp20260918-194518snap_to_target_fr66484.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=SNAP_TO_TARGET"
"fp20260918-194521sticky_aim_fr66564.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194524sticky_aim_fr66652.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194525sticky_aim_fr66696.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194526sticky_aim_fr66732.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194527sticky_aim_fr66762.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194533sticky_aim_fr66936.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194536sticky_aim_fr67024.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194537sticky_aim_fr67044.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194538sticky_aim_fr67100.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194542sticky_aim_fr67216.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194545sticky_aim_fr67284.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194547sticky_aim_fr67356.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194548sticky_aim_fr67378.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194549sticky_aim_fr67422.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194600sticky_aim_fr67742.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194605sticky_aim_fr67900.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194607sticky_aim_fr67940.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194607sticky_aim_fr67956.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194610sticky_aim_fr68058.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194612sticky_aim_fr68106.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194641sticky_aim_fr68962.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194644sticky_aim_fr69060.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194645sticky_aim_fr69104.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194650sticky_aim_fr69260.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194652sticky_aim_fr69310.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194700sticky_aim_fr69542.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194707snap_to_target_fr69766.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=SNAP_TO_TARGET"
"fp20260918-194710sticky_aim_fr69854.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-195003sticky_aim_fr75030.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-195325sticky_aim_fr81104.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-195355sticky_aim_fr81982.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-195952sticky_aim_fr92586.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-200825sticky_aim_fr106792.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-201206sticky_aim_fr113418.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-201720mechanical_lock_no_tremor_fr122842.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=MECHANICAL_LOCK_NO_TREMOR; exit_chopper_exfil_fp"
"fp20260918-202217sticky_aim_fr131734.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-203001sticky_aim_fr145481.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-203001sticky_aim_fr145492.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
